Name,Set Number,Price (2),Change ($),Change (%),imageUrl,tcgplayerUrl,Period,Edition,Rarity
Crystron Halqifibrax,DUOV-EN001,$12.64,$11.97,94.70%,https://tcgplayer-cdn.tcgplayer.com/product/210209_200w.jpg,https://www.tcgplayer.com/product/210209/yugioh-duel-overload-crystron-halqifibrax,7,1st Edition,Ultra Rare
Abyss Dweller,OP13-EN002,$53.55,$8.18,15.28%,https://tcgplayer-cdn.tcgplayer.com/product/216623_200w.jpg,https://www.tcgplayer.com/product/216623/yugioh-ots-tournament-pack-13-abyss-dweller-utr,7,Unlimited,Ultimate Rare
Void Ogre Dragon,PRC1-EN021,$10.56,$6.17,58.43%,https://tcgplayer-cdn.tcgplayer.com/product/58160_200w.jpg,https://www.tcgplayer.com/product/58160/yugioh-2012-premium-collection-tin-void-ogre-dragon,7,1st Edition,Secret Rare
"Supay, Duskwalker",LED5-EN025,$11.79,$3.37,28.58%,https://tcgplayer-cdn.tcgplayer.com/product/199638_200w.jpg,https://www.tcgplayer.com/product/199638/yugioh-legendary-duelists-immortal-destiny-supay-duskwalker,7,1st Edition,Ultra Rare
Hot Red Dragon Archfiend Bane,HSRD-EN042,$11.81,$2.35,19.90%,https://tcgplayer-cdn.tcgplayer.com/product/106039_200w.jpg,https://www.tcgplayer.com/product/106039/yugioh-high-speed-riders-hot-red-dragon-archfiend-bane,7,1st Edition,Secret Rare
Floowandereeze & Empen,BODE-EN017,$10.84,$2.32,21.40%,https://tcgplayer-cdn.tcgplayer.com/product/252551_200w.jpg,https://www.tcgplayer.com/product/252551/yugioh-burst-of-destiny-floowandereeze-and-empen,7,1st Edition,Secret Rare
Tyrant Red Dragon Archfiend,TDIL-EN050,$13.07,$2.21,16.91%,https://tcgplayer-cdn.tcgplayer.com/product/121307_200w.jpg,https://www.tcgplayer.com/product/121307/yugioh-the-dark-illusion-tyrant-red-dragon-archfiend,7,1st Edition,Ultra Rare
Blackfeather Darkrage Dragon,PGLD-EN017,$9.465,$2.12,22.40%,https://tcgplayer-cdn.tcgplayer.com/product/81649_200w.jpg,https://www.tcgplayer.com/product/81649/yugioh-premium-gold-blackfeather-darkrage-dragon,7,1st Edition,Gold Secret Rare
Evil Twins Ki-sikil & Lil-la,GEIM-EN017,$9.99,$2.05,20.52%,https://tcgplayer-cdn.tcgplayer.com/product/228648_200w.jpg,https://www.tcgplayer.com/product/228648/yugioh-genesis-impact-evil-twins-ki-sikil-and-lil-la,7,1st Edition,Ultra Rare
Forbidden Droplet,BROL-EN090,$16.14,$2.01,12.45%,https://tcgplayer-cdn.tcgplayer.com/product/256381_200w.jpg,https://www.tcgplayer.com/product/256381/yugioh-brothers-of-legend-forbidden-droplet,7,1st Edition,Secret Rare
Unending Nightmare,MACR-EN079,$4.38,$2.005,45.78%,https://tcgplayer-cdn.tcgplayer.com/product/131196_200w.jpg,https://www.tcgplayer.com/product/131196/yugioh-maximum-crisis-unending-nightmare,7,1st Edition,Secret Rare
Lord of the Heavenly Prison,BODE-EN030,$5.25,$1.82,34.67%,https://tcgplayer-cdn.tcgplayer.com/product/252565_200w.jpg,https://www.tcgplayer.com/product/252565/yugioh-burst-of-destiny-lord-of-the-heavenly-prison,7,1st Edition,Secret Rare
King of the Swamp,FUEN-EN040,$7.47,$1.735,23.23%,https://tcgplayer-cdn.tcgplayer.com/product/127831_200w.jpg,https://www.tcgplayer.com/product/127831/yugioh-fusion-enforcers-king-of-the-swamp,7,1st Edition,Super Rare
Parlor Dragonmaid,MAGO-EN023,$6.17,$1.71,27.71%,https://tcgplayer-cdn.tcgplayer.com/product/227443_200w.jpg,https://www.tcgplayer.com/product/227443/yugioh-maximum-gold-parlor-dragonmaid,7,1st Edition,Premium Gold Rare
